,country,population,num_articles,prop_article_per_population
44,India,1314097616.0,990.0,0.0000753369%
80,China,1371920000.0,1138.0,0.0000829494%
30,Indonesia,255741973.0,215.0,0.0000840691%
167,Uzbekistan,31290791.0,29.0,0.0000926790%
113,Ethiopia,98148000.0,105.0,0.0001069813%
119,"Korea, North",24983000.0,39.0,0.0001561062%
0,Zambia,15473900.0,26.0,0.0001680249%
157,Thailand,65121250.0,112.0,0.0001719869%
110,"Congo, Dem. Rep. of",73340200.0,142.0,0.0001936182%
43,Bangladesh,160411000.0,324.0,0.0002019812%
